Student_ID,Gender,Semester,CGPA,Programming,DSA,DBMS,OS,CN,OOP,Python,Java,SQL,Web_Development,Cloud,AI_ML,Communication,Aptitude,Teamwork,Problem_Solving,Internship,Certifications,Projects_Completed,Placement_Status,Industry_Readiness
S001,Female,7,8.43,3,7,6,6,5,4,4,9,3,3,4,6,6,3,6,9,Yes,3,5,Not Placed,Not Ready
S002,Female,7,8.88,5,9,8,7,5,6,8,4,4,9,4,8,8,7,3,10,Yes,3,1,Placed,Ready
S003,Male,7,8.68,3,6,7,4,6,4,9,7,10,8,5,8,8,6,7,4,Yes,4,6,Not Placed,Not Ready
S004,Male,8,7.76,7,6,8,3,6,3,8,9,7,4,6,8,6,10,9,10,Yes,2,2,Not Placed,Not Ready
S005,Male,8,8.84,9,9,8,6,5,10,4,3,4,5,5,9,4,9,9,10,No,4,1,Not Placed,Not Ready
S006,Male,8,8.92,8,4,7,9,5,10,3,7,5,4,7,6,5,8,5,3,No,3,1,Not Placed,Not Ready
S007,Female,8,9.34,7,6,3,6,4,4,10,4,5,5,10,5,7,9,6,6,No,3,6,Not Placed,Not Ready
S008,Female,8,9.42,10,4,6,6,4,8,3,6,6,3,4,3,6,4,3,8,Yes,4,2,Not Placed,Not Ready
S009,Male,7,6.81,5,10,6,10,9,6,4,4,9,8,9,9,10,3,4,3,No,5,3,Not Placed,Not Ready
S010,Female,7,6.73,10,5,9,5,7,10,6,4,10,4,3,3,4,6,5,9,No,3,2,Not Placed,Not Ready
S011,Male,7,6.63,3,9,7,10,7,9,10,5,6,7,6,3,3,8,3,3,No,4,5,Not Placed,Not Ready
S012,Female,8,9.65,4,5,4,4,6,9,4,6,3,4,9,8,7,6,8,6,No,3,2,Not Placed,Not Ready
S013,Female,7,7.2,4,3,10,4,4,6,7,5,8,4,6,8,7,5,10,7,Yes,5,5,Not Placed,Not Ready
S014,Female,7,9.57,5,7,4,4,5,7,7,6,8,6,7,10,7,3,4,9,No,0,1,Not Placed,Not Ready
S015,Male,7,8.42,7,5,10,9,3,4,4,5,3,8,5,9,5,3,7,8,Yes,2,2,Not Placed,Not Ready
S016,Female,8,7.34,9,5,6,5,5,9,3,5,8,9,6,7,5,4,9,3,No,1,2,Not Placed,Not Ready
S017,Female,8,7.16,6,6,3,6,9,8,7,4,7,8,9,8,3,4,7,5,No,0,1,Not Placed,Not Ready
S018,Female,8,8.77,8,9,4,9,6,7,3,9,3,6,8,9,4,8,8,4,No,4,3,Not Placed,Not Ready
S019,Female,7,7.53,7,5,6,9,9,5,7,9,3,7,7,6,9,8,10,10,No,5,2,Not Placed,Not Ready
S020,Male,7,8.5,7,8,4,6,7,6,6,5,3,3,6,10,4,10,9,6,No,3,4,Not Placed,Not Ready
S021,Female,8,8.49,3,4,9,6,5,10,3,6,4,10,5,10,8,10,9,10,Yes,5,4,Not Placed,Not Ready
S022,Female,8,8.86,7,10,6,7,10,4,7,6,7,8,8,4,5,5,6,9,Yes,5,2,Not Placed,Ready
S023,Male,8,8.06,9,3,6,9,9,3,9,10,3,8,7,9,9,6,10,6,No,3,4,Not Placed,Not Ready
S024,Female,8,7.28,9,5,10,5,3,9,3,4,9,5,10,5,3,7,9,8,Yes,3,3,Not Placed,Not Ready
S025,Male,7,7.06,9,7,4,10,3,3,8,6,4,3,3,6,6,3,5,6,Yes,3,6,Not Placed,Not Ready
S026,Female,8,7.77,7,8,5,4,5,7,4,3,7,9,9,6,4,6,4,7,Yes,4,1,Not Placed,Not Ready
S027,Male,8,8.51,4,8,3,9,10,4,9,8,10,5,9,5,7,10,10,9,No,2,2,Not Placed,Not Ready
S028,Female,8,9.35,6,10,9,8,3,10,8,5,10,6,8,7,8,7,7,3,Yes,0,2,Not Placed,Not Ready
S029,Female,8,8.11,6,10,10,10,3,4,7,6,9,6,7,8,10,8,9,8,No,5,4,Not Placed,Not Ready
S030,Male,8,6.96,4,6,8,4,5,6,6,10,7,7,4,6,7,6,8,5,No,0,6,Not Placed,Not Ready
S031,Male,7,6.17,3,7,5,10,4,3,7,10,10,10,8,5,3,7,10,4,Yes,3,4,Not Placed,Not Ready
S032,Male,7,6.58,7,4,6,4,9,6,9,10,10,7,9,7,3,4,6,6,No,5,1,Not Placed,Not Ready
S033,Male,7,6.66,4,5,3,9,10,10,7,3,6,7,7,10,4,6,7,6,No,0,5,Not Placed,Not Ready
S034,Female,7,9.45,5,4,3,5,7,7,10,4,10,7,9,7,10,10,4,3,No,5,3,Not Placed,Not Ready
S035,Female,8,6.35,3,7,3,5,10,10,7,5,9,10,4,10,8,9,8,8,Yes,1,3,Not Placed,Not Ready
S036,Female,7,7.1,9,3,10,4,8,7,8,4,9,3,10,9,3,6,8,10,No,0,2,Not Placed,Not Ready
S037,Female,8,9.53,10,10,4,3,6,5,7,3,9,4,6,4,10,4,5,10,No,4,6,Not Placed,Not Ready
S038,Female,8,9.17,10,6,10,5,9,6,5,4,7,9,8,7,3,7,7,10,Yes,3,5,Not Placed,Not Ready
S039,Female,7,7.26,9,10,8,6,6,9,6,9,3,8,10,9,9,5,10,3,Yes,4,5,Not Placed,Not Ready
S040,Male,7,9.32,10,4,10,3,5,9,5,4,10,7,8,9,4,8,9,8,No,4,1,Not Placed,Not Ready
S041,Female,7,8.4,7,6,4,9,4,4,10,5,7,3,3,8,3,7,8,8,No,1,2,Not Placed,Not Ready
S042,Female,8,6.65,4,9,6,10,5,6,10,7,10,7,3,10,7,5,4,10,No,4,3,Not Placed,Not Ready
S043,Female,7,7.74,7,6,9,10,4,6,9,8,7,7,3,9,7,3,3,10,No,1,5,Not Placed,Not Ready
S044,Female,7,8.42,7,5,4,3,7,10,3,8,5,4,7,8,9,5,6,5,No,4,5,Not Placed,Not Ready
S045,Female,8,6.98,10,7,8,4,10,4,5,6,9,8,4,9,3,7,4,10,No,5,6,Not Placed,Not Ready
S046,Male,7,9.13,8,4,6,10,3,8,6,4,10,7,9,4,5,3,3,7,No,0,1,Not Placed,Not Ready
S047,Female,7,7.48,8,9,5,9,4,10,9,7,3,8,6,10,10,6,8,4,No,4,6,Not Placed,Not Ready
S048,Female,7,7.51,6,4,10,4,6,3,3,8,6,5,6,4,6,6,6,8,Yes,4,1,Not Placed,Not Ready
S049,Female,7,9.75,7,5,4,3,5,3,8,6,8,3,5,7,3,5,9,4,Yes,3,4,Not Placed,Not Ready
S050,Female,8,7.72,6,3,7,10,3,3,10,9,9,4,10,10,4,4,8,5,Yes,1,3,Not Placed,Not Ready
